,year,iso3c,country,pop,labor_force,gdp_ppp_c,gdp_ppp,gdp,gdp_c,hours_worked,total_hours,hours_per_employed,gdp_over_k_hours_worked,gdp_ppp_over_k_hours_worked,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_labor_force,gdp_ppp_over_pop_c,gdp_over_pop_c,gdp_ppp_over_k_hours_worked_c,continent,penn_hours_worked_over_pop,hours_worked_over_pop,hours_worked_over_pop_combined,hours_worked_over_pop_predicted,hours_worked_over_pop_modelled
12694,2007,FIN,Finland,5288720.0,2687154.0,257371675330.3,200141650030.277,256378067752.158,244405718572.656,1604.72998235589,4042154351.6598,1604.729982,63426.09545498513,49513.60898628087,48476.39272870524,37843.11705484068,74480.90062209945,48664.265707070896,46212.640974121525,63671.90684458087,4.0,789.6806649637816,764.2972877482264,764.2972877482264,754.0425464315081,764.2972877482264
12696,2007,FRA,France,64021737.0,29457032.0,2760841448046.81,2184594990879.52,2660591246211.77,2334550031985.42,1536.81550088915,41481724002.992,1536.815501,64138.87826889418,52664.0356298101,41557.62356481783,34122.707274866974,74162.08771065327,43123.50113285446,36464.95926821573,66555.61007656468,4.0,649.3083312188724,647.9318735602566,647.9318735602566,751.8126981137385,647.9318735602566
12700,2007,GBR,United Kingdom,61322463.0,31527354.0,2701040079156.28,2179784502269.62,3092996468387.23,2724178993507.05,1541.16885827053,45277609963.46092,1541.168858,68311.83162899458,48142.658237232674,50438.229599278,35546.26470677833,69139.46861095987,44046.50346735551,44423.83525115503,59655.094015254384,4.0,794.6409792931127,738.3527625669719,738.3527625669719,760.8854827289437,738.3527625669719
12708,2007,GRC,Greece,11048473.0,5031298.0,415639807238.598,323985198252.361,318902829550.733,265968743229.289,2001.08881312474,9595358933.463097,2001.088813,33235.11207471179,33764.78154688793,28863.97328850177,29323.97972573776,64393.95922331792,37619.66085617425,24072.89615762187,43316.754497748414,4.0,922.2522313184946,868.4782895756813,868.4782895756813,767.898859519257,868.4782895756813
12717,2007,HRV,Croatia,4310217.0,1924507.0,112942367448.42,84167394182.1902,59172904660.6176,54693190847.2178,1862.07498133548,3305289000.462834,1929.664198,17902.490418336103,25464.45837879967,13728.521014282484,19527.41455527418,43734.522234624346,26203.406336251748,12689.196587368524,34170.194325701894,4.0,826.6866458712684,766.8497898047439,766.8497898047439,767.898859519257,766.8497898047439
12719,2007,HUN,Hungary,10055780.0,4306927.0,256656435814.409,192032268949.248,140186691233.532,118585513679.933,1787.8,7375847999.132386,1787.826483,19006.17952675029,26035.28014295259,13940.906745526654,19096.70547180308,44586.840907507365,25523.2747548583,11792.771289739136,34796.871606437555,4.0,733.5288563166133,733.4933738737707,733.4933738737707,766.371855242269,733.4933738737707
12731,2007,ISL,Iceland,311566.0,189725.0,16459100235.8284,12920228876.6255,21652505596.7528,16714384610.1713,1553.87422796182,276745000.0068,1553.874228,78239.91615465778,46686.40400479876,69495.72673768255,41468.67397798701,68099.7700704994,52827.010122505024,53646.36902027596,59473.88475103065,4.0,919.708889311252,888.2387680517129,888.2387680517129,830.4464916487857,888.2387680517129
12732,2007,ISR,Israel,7180100.0,3266238.0,237921371210.296,202300805666.636,184052885585.912,228904065520.347,1961.54650725416,6131891999.205468,1961.546507,30015.676337704645,32991.58003644697,25633.74961155304,28175.207262661523,61936.94570531479,33136.219719822286,31880.345053738387,38800.64607157536,3.0,878.2551643263282,854.0120610026975,854.0120610026975,841.1575526387536,854.0120610026975
12733,2007,ITA,Italy,58438310.0,24473855.0,2650559353331.67,1995408005654.42,2213102482751.46,1991641321835.0,1817.70744083846,45994542004.0876,1817.707441,48116.632676868016,43383.58245804655,37870.747507096974,34145.54605796129,81532.23125880332,45356.536719348485,34081.09032987094,57627.693153159584,4.0,786.7334878360924,787.061467111003,787.061467111003,763.4335646429009,787.061467111003
12736,2007,JPN,Japan,128001000.0,66892223.0,5027993827924.14,4482081297524.2,4579749785984.82,4350758602409.6,1785.0,118725705000.0,1785.0,38574.20586371604,37751.5660785017,35779.01567944641,35015.9865745127,67004.52005495767,39280.894898665945,33990.03603416849,42349.66495186649,3.0,950.3432513362762,927.5373239271568,927.5373239271568,901.2586303998344,927.5373239271568
12743,2007,KOR,"Korea, Rep.",48683638.0,24884098.0,1536939102172.75,1414985950534.54,1172614134912.05,1137293878173.46,,,,,,24086.41143277029,29064.918084686688,56863.059715266354,31569.93119891225,23360.905735381977,,3.0,1114.8186258003764,,1114.8186258003764,1117.972909581374,1114.8186258003764
12758,2007,LTU,Lithuania,3231294.0,1513018.0,83481669656.9603,61707091869.725,39697891351.9431,38726810730.7062,1707.36112331084,2469484444.2791247,1707.361123,16075.376155500118,24987.84392534941,12285.447053701428,19096.712298455357,40784.10955436419,25835.368015711443,11984.923294106386,33805.30290456221,4.0,852.1138080778886,764.240098325663,764.240098325663,761.926324867205,764.240098325663
12759,2007,LUX,Luxembourg,479993.0,219204.0,57910110485.5414,40857334356.5241,51587401415.7872,53959794734.6914,1580.99353348037,526873999.83991504,1580.993533,97912.21702240284,77546.68928232967,107475.32029797768,85120.68791945737,186389.5474376567,120647.82295896272,112417.87845800126,109912.63661356748,4.0,1085.2565465354437,1097.6701740231942,1097.6701740231942,1044.6561304656173,1097.6701740231942
12760,2007,LVA,Latvia,2200325.0,1137565.0,56035199129.8609,40130864612.1486,31054350977.9784,29011437660.3379,1793.6259227834,1908550710.390302,1793.625923,16271.168907860842,21026.878873939782,14113.529127732676,18238.607756648948,35277.86509970736,25466.78292064168,13185.069324003452,29360.07873660407,4.0,908.1460508149604,867.3949122926394,867.3949122926394,767.898859519257,867.3949122926394
12792,2007,NLD,Netherlands,16381696.0,8674930.0,866755039931.981,719888941984.046,848558887541.179,739448107993.38,1429.1720246238,12536697003.3,1429.172025,67686.00113074562,57422.53655763967,51799.20855210468,43944.71378201903,82984.98569833371,52909.96975722056,45138.678436798,69137.43226815065,4.0,765.2868357083246,765.2868789226707,765.2868789226707,811.9374133992544,765.2868789226707
12793,2007,NOR,Norway,4709153.0,2525640.0,303636710543.714,264539759412.102,402645550184.816,358440508422.031,1438.15261044177,3580999998.9,1438.15261,112439.41645029304,73873.15260914896,85502.75393150658,56175.65609189211,104741.67316486198,64477.987982916246,76115.70667209815,84791.03899385204,4.0,741.441575377111,760.4339886387213,760.4339886387213,764.9536985585096,760.4339886387213
12796,2007,NZL,New Zealand,4223800.0,2277861.0,163197898044.148,123894609970.877,137188946865.584,153712092609.704,1774.0,3773266845.012,1774.0,36358.135403791646,32834.839161894204,32479.981738146693,29332.499164467303,54390.76834401967,38637.69545057721,36391.89654095933,43251.08844604628,5.0,921.1916244237784,893.334638243288,893.334638243288,913.0697694589838,893.334638243288
12806,2007,POL,Poland,38120560.0,17358009.0,817207893948.714,640614640656.719,429020755432.721,370980501392.758,1854.69471995654,28109567706.848,1854.69472,15262.445865654625,22789.91435719069,11254.314087534942,16804.964057629768,36905.997724550034,21437.457737995297,9731.769454403557,29072.232717034185,4.0,817.4882155514302,737.3860118227014,737.3860118227014,782.9394046628038,737.3860118227014
12810,2007,PRT,Portugal,10542964.0,5534266.0,340027131941.013,271337411768.344,240496147317.381,210341031080.276,1754.67227458586,8881412339.022224,1754.672275,27078.59269867632,30551.155763387986,22811.05648443654,25736.350021525635,49028.61766462689,32251.569097742627,19950.844096619887,38285.25452500806,4.0,919.4199359654468,842.401846295048,842.401846295048,767.898859519257,842.401846295048
12837,2007,SVK,Slovak Republic,5374622.0,2655666.0,129727116493.298,114076692457.178,86563986799.2505,73817506954.537,1791.20271864354,3899391000.775992,1791.202719,22199.36056220676,29255.002238676847,16106.060444669503,21225.063354628102,42955.96376094659,24136.974933920563,13734.455549532042,33268.55821011072,4.0,730.560923077695,725.5191157212529,725.5191157212529,785.4262480509636,725.5191157212529
12838,2007,SVN,Slovenia,2018122.0,1035219.0,70447328991.0078,55646978747.7094,48067401207.3978,43540484553.7887,1654.90517076229,1615391000.232033,1654.905171,29755.892660348763,34447.99354442133,23817.886732020062,27573.644580312488,53753.822860389344,34907.36882656638,21574.75343601065,43610.078910238335,4.0,806.3530623362868,800.4426889117868,800.4426889117868,774.1501641443247,800.4426889117868
12839,2007,SWE,Sweden,9148092.0,4844850.0,444207419292.345,374251404875.118,491254769728.812,449584772840.507,1461.68670158821,6539732473.4182,1461.686702,75118.48102741152,57227.326407666274,53700.24369330917,40910.323691007696,77247.26356339577,48557.38434772464,49145.19583324119,67924.40227454226,4.0,799.6726009245485,714.8739292759844,714.8739292759844,758.9905598745513,714.8739292759844
12867,2007,USA,United States,301231207.0,155503665.0,16834500650997.2,14474226905000.0,14474226905000.0,16356739241000.0,1842.9275,258675833054.883,1744.426909,55955.07989309932,55955.07989309932,48050.223777113504,48050.223777113504,93079.65124166044,55885.646174093774,54299.6172405205,65079.52618606409,2.0,869.7221633026134,858.7285349053592,858.7285349053592,832.0207961900211,858.7285349053592
12896,2008,AUS,Australia,21249199.0,11228764.0,951481199941.249,797224342544.283,1055686110665.53,1134331329533.5,1799.0,18915262987.66988,1753.556685,55811.336662550806,42147.14556514295,49681.21907397686,37517.85385153967,70998.40575011488,44777.273719411685,53382.31005947565,50302.298231934845,5.0,900.9107071775742,890.1635768797627,890.1635768797627,908.1026298256342,890.1635768797627
12897,2008,AUT,Austria,8321496.0,4243342.0,442421107373.803,343812802543.0,432051935642.945,369807747327.812,1599.36535464937,6540012854.091149,1599.365355,66062.85725763856,52570.66158943794,51919.983575422615,41316.225176698994,81024.0613514065,53166.05420152855,44440.05588992797,67648.35440606871,4.0,838.8906946416017,785.9179231824602,785.9179231824602,751.8126981137385,785.9179231824602
12900,2008,BEL,Belgium,10709973.0,4777353.0,518614543398.304,405729462246.522,517328087920.078,430025228051.015,1582.50514357277,7076330001.910399,1582.505144,73106.83472653406,57336.142059088124,48303.397956285975,37883.33194178192,84927.67066752697,48423.51548396098,40151.84987403937,73288.63171422099,4.0,660.5953870808754,660.7234212364867,660.7234212364867,751.8126981137385,660.7234212364867
12918,2008,CAN,Canada,33247118.0,18662575.0,1524420320951.4,1342395839240.43,1552989690721.65,1398481507643.54,1742.0,30048597701.03268,1741.572119,51682.60117071215,44674.15926016061,46710.50557590134,40376.306879905496,71929.8295782029,45851.20192828142,42063.240117340094,50731.82902305655,2.0,900.923783114556,903.7955621005308,903.7955621005308,870.7012168766024,903.7955621005308
12920,2008,CHE,Switzerland,7647675.0,4410392.0,506259776133.314,411512093039.143,567273005013.434,630788401993.241,1659.5,7197162469.376672,1617.971427,78818.98003930486,57176.99090302501,74175.87763777017,53808.78411270654,93305.10599491904,66197.86747388115,82481.06803613399,70341.57951656744,4.0,948.1237346489452,941.0915695785544,941.0915695785544,811.4825251269416,941.0915695785544
12937,2008,CZE,Czechia,10384603.0,5211811.0,359104175715.301,290503942992.86,236816948159.718,177025133390.924,1789.61445435398,9313294998.157866,1789.614454,25427.83710883844,31192.39142004205,22804.62220459636,27974.48713184895,55739.53909550058,34580.44334629846,17046.885026892603,38558.23054958857,4.0,898.8738845320538,896.836884198449,896.836884198449,787.7449752417524,896.836884198449
12938,2008,DEU,Germany,82110097.0,41917490.0,3911989640347.39,3103957698735.13,3745264093617.19,3143035994104.02,1447.33331700867,59106197999.646,1447.333317,63364.997586879486,52514.92743203886,45612.71062214419,37802.387430319686,74049.226199735,47643.2227372401,38278.313008253055,66185.77700380626,4.0,720.3157521679778,719.8408010606297,719.8408010606297,763.9760880807097,719.8408010606297
12941,2008,DNK,Denmark,5493621.0,2918710.0,291065948985.469,226767483101.984,353358901702.046,293059176864.39,1430.05508558406,4214185001.225734,1430.055086,83849.87882574409,53810.51924299161,64321.67448428751,41278.326827057055,77694.42085783926,52982.531737349374,53345.35761829766,69068.14696099241,4.0,767.1028502892763,767.1051572770917,767.1051572770917,769.7362069599994,767.1051572770917
12953,2008,ESP,Spain,45954106.0,23150283.0,1803211005178.5,1528583945708.69,1631863493552.34,1241923268505.08,1710.12620246177,36248005990.2122,1710.126202,45019.40034971802,42170.15264567776,35510.72223127005,33263.272398524954,66028.7369147362,39239.38821002197,27025.294943287117,49746.48828035972,4.0,779.0963425530136,788.7870996818477,788.7870996818477,753.688484426525,788.7870996818477
12954,2008,EST,Estonia,1337090.0,696060.0,39606965135.4168,30488783700.7275,24341678628.9732,22205813183.2266,1873.91939364382,1203243642.8874,1873.919394,20230.04964361246,25338.82799294428,18204.96647867623,22802.34217646344,43801.947677969576,29621.764529999327,16607.568064398507,32916.82891452703,4.0,966.9613078823012,899.897271602809,899.897271602809,767.898859519257,899.897271602809
